#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
left1579.jpg,322284,"{}",1,0,"{""name"":""rect"",""x"":641,""y"":411,""width"":30,""height"":83}","{}"
left1578.jpg,322184,"{}",1,0,"{""name"":""rect"",""x"":638,""y"":407,""width"":34,""height"":86}","{}"
left1577.jpg,322460,"{}",1,0,"{""name"":""rect"",""x"":638,""y"":411,""width"":34,""height"":84}","{}"
left1576.jpg,322498,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":410,""width"":36,""height"":84}","{}"
left1575.jpg,322199,"{}",1,0,"{""name"":""rect"",""x"":639,""y"":411,""width"":32,""height"":83}","{}"
left1574.jpg,322757,"{}",1,0,"{""name"":""rect"",""x"":639,""y"":411,""width"":31,""height"":82}","{}"
left1573.jpg,322883,"{}",1,0,"{""name"":""rect"",""x"":638,""y"":410,""width"":35,""height"":86}","{}"
left1572.jpg,322493,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":410,""width"":34,""height"":84}","{}"
left1571.jpg,322638,"{}",1,0,"{""name"":""rect"",""x"":641,""y"":412,""width"":31,""height"":84}","{}"
left1570.jpg,322918,"{}",1,0,"{""name"":""rect"",""x"":639,""y"":411,""width"":31,""height"":82}","{}"
left1569.jpg,322786,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":410,""width"":36,""height"":83}","{}"
left1568.jpg,323055,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":410,""width"":35,""height"":86}","{}"
left1567.jpg,323166,"{}",1,0,"{""name"":""rect"",""x"":639,""y"":411,""width"":30,""height"":83}","{}"
left1566.jpg,322797,"{}",1,0,"{""name"":""rect"",""x"":638,""y"":412,""width"":35,""height"":84}","{}"
left1565.jpg,322704,"{}",1,0,"{""name"":""rect"",""x"":638,""y"":410,""width"":31,""height"":84}","{}"
left1564.jpg,323030,"{}",1,0,"{""name"":""rect"",""x"":639,""y"":410,""width"":30,""height"":84}","{}"
left1563.jpg,322578,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":410,""width"":36,""height"":86}","{}"
left1562.jpg,322877,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":408,""width"":34,""height"":84}","{}"
left1561.jpg,323184,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":410,""width"":34,""height"":83}","{}"
left1560.jpg,323045,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":408,""width"":34,""height"":87}","{}"
left1559.jpg,322991,"{}",1,0,"{""name"":""rect"",""x"":634,""y"":410,""width"":35,""height"":84}","{}"
left1558.jpg,322855,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":406,""width"":35,""height"":88}","{}"
left1557.jpg,322703,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":407,""width"":32,""height"":88}","{}"
left1556.jpg,322618,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":408,""width"":32,""height"":88}","{}"
left1555.jpg,322437,"{}",1,0,"{""name"":""rect"",""x"":637,""y"":407,""width"":32,""height"":87}","{}"
left1554.jpg,322441,"{}",1,0,"{""name"":""rect"",""x"":636,""y"":403,""width"":34,""height"":92}","{}"
left1553.jpg,322385,"{}",1,0,"{""name"":""rect"",""x"":634,""y"":403,""width"":32,""height"":89}","{}"
left1552.jpg,322437,"{}",1,0,"{""name"":""rect"",""x"":632,""y"":406,""width"":36,""height"":88}","{}"
left1551.jpg,322168,"{}",1,0,"{""name"":""rect"",""x"":633,""y"":406,""width"":32,""height"":87}","{}"
left1550.jpg,322200,"{}",1,0,"{""name"":""rect"",""x"":632,""y"":406,""width"":35,""height"":88}","{}"
left1549.jpg,322715,"{}",1,0,"{""name"":""rect"",""x"":631,""y"":402,""width"":36,""height"":91}","{}"
left1548.jpg,323206,"{}",1,0,"{""name"":""rect"",""x"":629,""y"":402,""width"":36,""height"":93}","{}"
left1547.jpg,322790,"{}",1,0,"{""name"":""rect"",""x"":627,""y"":401,""width"":37,""height"":93}","{}"
left1546.jpg,323110,"{}",1,0,"{""name"":""rect"",""x"":631,""y"":406,""width"":32,""height"":89}","{}"
left1545.jpg,322383,"{}",1,0,"{""name"":""rect"",""x"":631,""y"":403,""width"":34,""height"":88}","{}"
left1544.jpg,322337,"{}",1,0,"{""name"":""rect"",""x"":628,""y"":403,""width"":35,""height"":89}","{}"
left1543.jpg,322035,"{}",1,0,"{""name"":""rect"",""x"":627,""y"":402,""width"":35,""height"":93}","{}"
left1542.jpg,322682,"{}",1,0,"{""name"":""rect"",""x"":624,""y"":402,""width"":37,""height"":92}","{}"
left1541.jpg,322793,"{}",1,0,"{""name"":""rect"",""x"":626,""y"":403,""width"":36,""height"":91}","{}"
left1290.jpg,318033,"{}",1,0,"{""name"":""rect"",""x"":529,""y"":384,""width"":43,""height"":113}","{}"
left1289.jpg,317542,"{}",1,0,"{""name"":""rect"",""x"":535,""y"":386,""width"":40,""height"":109}","{}"
left1288.jpg,315924,"{}",1,0,"{""name"":""rect"",""x"":536,""y"":384,""width"":43,""height"":113}","{}"
left1287.jpg,311476,"{}",1,0,"{""name"":""rect"",""x"":544,""y"":385,""width"":40,""height"":110}","{}"
left1286.jpg,308369,"{}",1,0,"{""name"":""rect"",""x"":547,""y"":390,""width"":38,""height"":107}","{}"
